date,AAPL,AMZN,FB,GOOGL,NFLX
2017-11-10,174.67,1125.35,178.46,1044.15,192.02
2017-11-13,173.97,1129.17,178.77,1041.2,195.08
2017-11-14,171.34,1136.84,178.07,1041.64,195.71
2017-11-15,169.08,1126.69,177.95,1036.41,192.12
2017-11-16,171.1,1137.29,179.59,1048.47,195.51
2017-11-17,170.15,1129.88,179.0,1035.89,193.2
2017-11-20,169.98,1126.31,178.74,1034.66,194.1
2017-11-21,173.14,1139.49,181.86,1050.3,196.23
2017-11-22,174.96,1156.16,180.87,1051.92,196.32
2017-11-24,174.97,1186.0,182.78,1056.52,195.75
2017-11-27,174.09,1195.83,183.03,1072.01,195.05
2017-11-28,173.07,1193.6,182.42,1063.29,199.18
2017-11-29,169.48,1161.27,175.13,1037.38,188.15
2017-11-30,171.85,1176.75,177.18,1036.17,187.58
2017-12-01,171.05,1162.35,175.1,1025.07,186.82
2017-12-04,169.8,1133.95,171.47,1011.87,184.04
2017-12-05,169.64,1141.57,172.83,1019.6,184.21
2017-12-06,169.01,1152.35,176.06,1032.72,185.3
2017-12-07,169.452,1159.79,180.14,1044.57,185.2
2017-12-08,169.37,1162.0,179.0,1049.38,188.54
2017-12-11,172.67,1168.92,179.04,1051.97,186.22
2017-12-12,171.7,1165.08,176.96,1048.77,185.73
2017-12-13,172.27,1164.13,178.3,1051.39,187.86
2017-12-14,172.22,1174.26,178.39,1057.47,189.56
2017-12-15,173.87,1179.14,180.18,1072.0,190.12
2017-12-18,176.42,1190.58,180.82,1085.09,190.42
2017-12-19,174.54,1187.38,179.51,1079.78,187.02
2017-12-20,174.35,1177.62,177.89,1073.56,188.82
2017-12-21,175.01,1174.76,177.45,1070.85,188.62
2017-12-22,175.01,1168.36,177.2,1068.86,189.94
2017-12-26,170.57,1176.76,175.99,1065.85,187.76
2017-12-27,170.6,1182.26,177.62,1060.2,186.24
2017-12-28,171.08,1186.1,177.92,1055.95,192.71
2017-12-29,169.23,1169.47,176.46,1053.4,191.96
2018-01-02,172.26,1189.01,181.42,1073.21,201.07
2018-01-03,172.23,1204.2,184.67,1091.52,205.05
2018-01-04,173.03,1209.59,184.33,1095.76,205.63
2018-01-05,175.0,1229.14,186.85,1110.29,209.99
2018-01-08,174.35,1246.87,188.28,1114.21,212.05
2018-01-09,174.33,1252.7,187.87,1112.79,209.31
2018-01-10,174.29,1254.33,187.84,1110.14,212.52
2018-01-11,175.28,1276.68,187.77,1111.88,217.24
2018-01-12,177.09,1305.2,179.37,1130.65,221.23
2018-01-16,176.19,1304.86,178.39,1130.7,221.53
2018-01-17,179.1,1295.0,177.6,1139.1,217.5
2018-01-18,179.26,1293.32,179.8,1135.97,220.33
2018-01-19,178.46,1294.58,181.29,1143.5,220.46
2018-01-22,177.0,1327.31,185.37,1164.16,227.58
2018-01-23,177.04,1362.54,189.35,1176.17,250.29
2018-01-24,174.22,1357.51,186.55,1171.29,261.279
2018-01-25,171.11,1377.95,187.48,1182.14,269.74
2018-01-26,171.51,1402.05,190.0,1187.56,274.6
2018-01-29,167.96,1417.68,185.98,1186.48,284.59
2018-01-30,166.97,1437.82,187.12,1177.37,278.8
2018-01-31,167.43,1451.65,186.89,1182.22,270.3
2018-02-01,167.78,1390.0,193.09,1181.59,265.07
2018-02-02,160.37,1431.0,190.28,1119.2,267.43
2018-02-05,157.49,1396.62,182.65,1068.76,255.59
2018-02-06,163.03,1442.84,185.31,1084.43,265.72
2018-02-07,159.54,1416.78,180.18,1055.41,264.56
2018-02-08,155.32,1350.47,171.5499,1005.6,250.0542
2018-02-09,155.97,1338.99,175.98,1043.43,249.18
2018-02-12,162.71,1386.23,176.41,1054.56,257.95
2018-02-13,164.34,1414.51,173.15,1054.14,258.27
2018-02-14,167.37,1451.05,179.52,1072.7,266.0
2018-02-15,172.99,1461.76,179.96,1091.36,280.27
2018-02-16,172.43,1448.69,177.36,1095.5,278.52
2018-02-20,171.85,1468.35,176.01,1103.59,278.55
2018-02-21,171.07,1482.92,177.91,1113.75,281.04
2018-02-22,172.6,1484.76,178.99,1109.9,278.14
2018-02-23,175.555,1500.0,183.29,1128.09,285.93
2018-02-26,178.97,1521.95,184.93,1143.7,294.16
2018-02-27,178.39,1511.98,181.46,1117.51,290.61
2018-02-28,178.12,1512.45,178.32,1103.92,291.38
2018-03-01,175.0,1493.45,175.94,1071.41,290.39
2018-03-02,176.21,1500.25,176.62,1084.14,301.05
2018-03-05,176.82,1523.61,180.4,1094.76,315.0
2018-03-06,176.67,1537.64,179.78,1100.9,325.22
2018-03-07,175.03,1545.0,183.71,1115.04,321.16
2018-03-08,176.94,1551.86,182.34,1129.38,317.0
2018-03-09,179.98,1578.89,185.23,1160.84,331.44
2018-03-12,181.72,1598.39,184.76,1165.93,321.3
2018-03-13,179.97,1588.18,181.88,1139.91,315.88
2018-03-14,178.44,1591.0,184.19,1148.89,321.55
2018-03-15,178.65,1582.32,183.86,1150.61,321.09
2018-03-16,178.02,1571.68,185.09,1134.42,318.45
2018-03-19,175.3,1544.93,172.56,1100.07,313.48
2018-03-20,175.24,1586.51,168.15,1095.8,317.5
2018-03-21,171.27,1581.86,169.39,1094.0,316.48
2018-03-22,168.845,1544.1,164.89,1053.15,306.7
2018-03-23,164.94,1495.56,159.39,1026.55,300.94
2018-03-26,172.77,1555.86,160.06,1054.09,320.35
2018-03-27,168.34,1497.05,152.19,1006.94,300.69
