date,AAPL,AMZN,FB,GOOGL,NFLX
2016-06-03,95.6960006084,725.54,118.47,735.86,99.59
2016-06-06,96.389874795818,726.73,118.79,730.06,100.74
2016-06-07,96.780789830983,723.74,117.76,731.09,99.89
2016-06-08,96.692833948071,726.64,118.39,742.93,97.86
2016-06-09,97.386708135489,727.65,118.56,742.52,97.09
2016-06-10,96.585332313401,717.91,116.62,733.19,93.75
2016-06-13,95.129173807411,715.24,113.95,731.88,93.85
2016-06-14,95.24644831796,719.3,114.94,733.25,94.12
2016-06-15,94.933716289828,714.26,114.6,732.19,94.29
2016-06-16,95.334404200873,717.51,114.39,724.25,95.44
2016-06-17,93.164825755707,706.39,113.02,704.25,94.45
2016-06-20,92.940049610487,714.01,113.37,706.13,93.8
2016-06-21,93.731652556696,715.82,114.38,708.88,90.99
2016-06-22,93.379829025047,710.6,113.91,710.47,90.01
2016-06-23,93.917337198399,722.08,115.08,714.87,91.66
2016-06-24,91.278660711035,698.96,112.08,685.2,88.44
2016-06-27,89.949549591474,691.36,108.97,681.14,85.33
2016-06-28,91.464345352739,707.95,112.7,691.26,87.97
2016-06-29,92.255948298948,715.6,114.16,695.19,91.06
2016-06-30,93.428693404443,715.62,114.28,703.53,91.48
2016-07-01,93.712106804938,725.68,114.19,710.25,96.67
2016-07-05,92.832547975816,728.1,114.0,704.89,97.91
2016-07-06,93.360283273289,737.61,116.7,708.97,94.6
2016-07-07,93.760971184333,736.57,115.85,707.26,95.1
2016-07-08,94.484163999389,745.81,117.24,717.78,97.06
2016-07-11,94.777350275762,753.78,117.87,727.2,94.67
2016-07-12,95.207356814444,748.21,117.93,732.51,95.97
2016-07-13,94.669848641092,742.63,116.78,729.48,96.43
2016-07-14,96.546240809884,741.2,117.29,735.8,98.02
2016-07-15,96.536467934005,735.44,116.86,735.63,98.39
2016-07-18,97.562619901313,736.07,119.37,753.2,98.81
2016-07-19,97.60171140483,739.95,120.61,753.41,85.84
2016-07-20,97.689667287742,745.72,121.92,757.08,87.91
2016-07-21,97.171704866148,744.43,120.61,754.41,85.99
2016-07-22,96.419193423456,744.86,121.0,759.28,85.89
2016-07-25,95.129173807411,739.61,121.63,757.52,87.66
2016-07-26,94.47439112351,735.59,121.22,757.65,91.41
2016-07-27,100.6117571756,736.67,123.34,761.97,92.04
2016-07-28,101.9701869228,752.61,125.0,765.84,91.65
2016-07-29,101.84313953637,758.81,123.94,791.34,91.25
2016-08-01,103.64134869813,767.74,124.31,800.94,94.37
2016-08-02,102.10700718511,760.58,123.09,800.12,93.56
2016-08-03,103.38725392527,754.64,122.51,798.92,93.1
2016-08-04,104.02249085742,760.77,124.36,797.25,93.44
2016-08-05,105.60439517668,765.98,125.15,806.93,97.03
2016-08-08,106.47886402397,766.56,125.26,805.23,95.11
2016-08-09,106.91118570129,768.31,125.06,807.48,93.99
2016-08-10,106.11532079532,768.56,124.88,808.49,93.93
2016-08-11,106.04654234666,771.24,124.9,808.2,95.89
2016-08-12,106.29217966332,772.56,124.88,807.05,96.59
2016-08-15,107.56949370993,768.49,123.9,805.96,95.31
2016-08-16,107.47123878326,764.04,123.3,801.19,95.12
2016-08-17,107.3140309006,764.63,124.37,805.42,96.37
2016-08-18,107.17647400328,764.46,123.91,802.75,96.16
2016-08-19,107.45158779793,757.31,123.56,799.65,95.87
2016-08-22,106.6164209213,759.48,124.15,796.95,95.26
2016-08-23,106.95048767195,762.45,124.37,796.59,95.94
2016-08-24,106.14479727332,757.25,123.48,793.6,95.18
2016-08-25,105.69282461068,759.22,123.89,791.3,97.32
2016-08-26,105.0738185727,769.0,124.96,793.22,97.58
2016-08-29,104.95591266071,771.29,126.54,795.82,97.3
2016-08-30,104.15022226208,767.58,125.84,791.92,97.45
2016-08-31,104.24847718874,769.16,126.12,789.85,97.45
2016-09-01,104.86748322671,770.62,126.17,791.4,97.38
2016-09-02,105.85003249333,772.44,126.51,796.87,97.38
2016-09-06,105.82055601534,788.87,129.73,808.02,100.09
2016-09-07,106.46903853131,784.48,131.05,807.99,99.15
2016-09-08,103.6785986141,784.06,130.27,802.84,99.66
2016-09-09,101.33030586687,760.14,127.1,788.48,96.5
2016-09-12,103.59999467277,771.49,128.69,798.82,99.05
2016-09-13,106.06619333199,761.01,127.21,788.72,96.09
2016-09-14,109.81953153049,761.09,127.77,790.46,97.01
2016-09-15,113.55321874366,769.69,128.35,801.23,97.34
2016-09-16,112.91456172036,778.52,129.07,797.97,99.48
2016-09-19,111.59794570308,775.1,128.65,795.39,98.06
2016-09-20,111.58812021042,780.22,128.64,799.78,98.25
2016-09-21,111.56846922508,789.74,129.94,805.03,94.88
2016-09-22,112.61979694037,804.7,130.08,815.95,95.83
2016-09-23,110.74312784112,805.75,127.96,814.96,95.94
2016-09-26,110.91016121645,799.16,127.31,802.65,94.56
2016-09-27,111.11649656244,816.11,128.69,810.73,97.07
2016-09-28,111.96148893173,828.72,129.23,810.06,97.48
2016-09-29,110.22237672981,829.05,128.09,802.64,96.67
2016-09-30,111.07719459177,837.31,128.27,804.06,98.55
2016-10-03,110.55644348046,836.74,128.77,800.38,102.63
2016-10-04,111.02806712844,834.03,128.19,802.79,102.34
2016-10-05,111.07719459177,844.36,128.47,801.23,106.28
2016-10-06,111.90253597573,841.66,128.74,803.08,105.07
2016-10-07,112.06956935106,839.43,128.99,800.71,104.82
2016-10-10,114.02484239164,841.71,130.24,814.17,103.33
2016-10-11,114.2704797083,831.0,128.88,809.57,100.59
2016-10-12,115.29233094559,834.09,129.05,811.77,99.5
2016-10-13,114.9386132096,829.28,127.82,804.08,100.23
2016-10-14,115.57727023291,822.96,127.88,804.6,101.47
2016-10-17,115.49866629158,812.95,127.54,806.84,99.8
2016-10-18,115.42006235025,817.65,128.57,821.49,118.79
2016-10-19,115.07617010693,817.69,130.11,827.09,121.87
2016-10-20,115.01721715093,810.32,130.0,821.63,123.35
2016-10-21,114.56524448828,818.99,132.07,824.06,127.5
2016-10-24,115.59692121824,838.09,133.28,835.74,127.33
