Date,GOOGL,FB,NFLX,AMZN
2015-08-28,659.690002,91.010002,117.629997,518.01001
2015-08-31,647.820007,89.43,115.029999,512.890015
2015-09-01,629.559998,87.230003,105.790001,496.540009
2015-09-02,644.909973,89.889999,105.440002,510.549988
2015-09-03,637.049988,88.150002,101.059998,504.720001
2015-09-04,628.960022,88.260002,98.790001,499
2015-09-08,643.880005,89.529999,94.949997,517.539978
2015-09-09,643.409973,90.440002,99.18,516.890015
2015-09-10,651.080017,91.980003,99.480003,522.23999
2015-09-11,655.299988,92.050003,97.510002,529.440002
2015-09-14,652.469971,92.309998,95.690002,521.380005
2015-09-15,665.070007,92.900002,99.160004,522.369995
2015-09-16,665.52002,93.449997,104.080002,527.390015
2015-09-17,671.669983,94.339996,104.209999,538.869995
2015-09-18,660.919983,94.400002,102.620003,540.26001
2015-09-21,666.97998,95.550003,100.300003,548.390015
2015-09-22,653.200012,92.959999,98.470001,538.400024
2015-09-23,653.289978,93.970001,98.07,536.070007
2015-09-24,654.909973,94.410004,103.760002,533.75
2015-09-25,640.150024,92.769997,102.239998,524.25
2015-09-28,624.25,89.209999,99.470001,504.059998
2015-09-29,622.609985,86.669998,98.349998,496.070007
2015-09-30,638.369995,89.900002,103.260002,511.890015
2015-10-01,642,90.949997,105.980003,520.719971
2015-10-02,656.98999,92.07,106.110001,532.539978
2015-10-05,671.679993,94.010002,111.25,543.679993
2015-10-06,671.640015,92.800003,108.330002,537.47998
2015-10-07,670,92.400002,108.099998,541.940002
2015-10-08,667,92.470001,114.93,533.159973
2015-10-09,671.23999,93.239998,113.330002,539.799988
2015-10-12,676.429993,94.260002,113.449997,550.190002
2015-10-13,683.169983,94.120003,109.730003,548.900024
2015-10-14,680.409973,94.07,110.230003,544.830017
2015-10-15,693.02002,95.959999,101.089996,562.440002
2015-10-16,695.320007,97.540001,98.989998,570.76001
2015-10-19,699.950012,98.470001,101.690002,573.150024
2015-10-20,680,97,98.989998,560.880005
2015-10-21,671.799988,97.110001,97.959999,555.77002
2015-10-22,681.140015,99.669998,97.32,563.909973
2015-10-23,719.330017,102.190002,100.040001,599.030029
2015-10-26,731.119995,103.769997,103.040001,608.609985
2015-10-27,732.820007,103.699997,103.07,611.01001
2015-10-28,736.919983,104.199997,105.800003,617.099976
2015-10-29,744.849976,104.879997,105.120003,626.549988
2015-10-30,737.390015,101.970001,108.379997,625.900024
2015-11-02,747.73999,103.309998,107.639999,628.349976
2015-11-03,748.820007,102.580002,109.739998,625.309998
2015-11-04,755.309998,103.940002,114.050003,640.950012
2015-11-05,760.669983,108.760002,113.5,655.650024
2015-11-06,761.599976,107.099998,114.059998,659.369995
2015-11-09,754.77002,106.489998,109.860001,655.48999
2015-11-10,758.26001,107.910004,112.699997,659.679993
2015-11-11,765.25,109.010002,112.860001,673.25
2015-11-12,756.530029,108.019997,108.919998,665.599976
2015-11-13,740.070007,103.949997,103.650002,642.349976
2015-11-16,750.419983,104.040001,111.349998,647.809998
2015-11-17,745.97998,105.129997,117.099998,643.299988
2015-11-18,760.01001,107.769997,120.629997,663.539978
2015-11-19,759.940002,106.260002,120.220001,661.27002
2015-11-20,777,107.32,123.839996,668.450012
2015-11-23,776.700012,106.949997,125.029999,678.98999
2015-11-24,769.630005,105.739998,123.309998,671.150024
2015-11-25,769.26001,105.410004,124.160004,675.340027
2015-11-27,771.969971,105.449997,125.440002,673.26001
2015-11-30,762.849976,104.239998,123.330002,664.799988
2015-12-01,783.789978,107.120003,125.370003,679.059998
2015-12-02,777.849976,106.07,128.929993,676.01001
2015-12-03,768.200012,104.379997,126.809998,666.25
2015-12-04,779.210022,106.18,130.929993,672.640015
2015-12-07,772.98999,105.610001,125.360001,669.830017
2015-12-08,775.140015,106.489998,126.980003,677.330017
2015-12-09,762.549988,104.599998,124.199997,664.789978
2015-12-10,760.039978,105.419998,122.910004,662.320007
2015-12-11,750.419983,102.120003,118.910004,640.150024
2015-12-14,762.539978,104.660004,120.669998,657.909973
2015-12-15,760.090027,104.550003,118.599998,658.640015
2015-12-16,776.590027,106.790001,122.639999,675.77002
2015-12-17,769.830017,106.220001,122.510002,670.650024
2015-12-18,756.849976,104.040001,118.019997,664.140015
2015-12-21,760.799988,104.769997,116.629997,664.51001
2015-12-22,767.130005,105.510002,116.239998,663.150024
2015-12-23,768.51001,104.629997,118.160004,663.700012
2015-12-24,765.840027,105.019997,117.330002,662.789978
2015-12-28,782.23999,105.93,117.110001,675.200012
2015-12-29,793.960022,107.260002,119.120003,693.969971
2015-12-30,790.299988,106.220001,116.709999,689.070007
2015-12-31,778.01001,104.660004,114.379997,675.890015
2016-01-04,759.440002,102.220001,109.959999,636.98999
2016-01-05,761.530029,102.730003,107.660004,633.789978
2016-01-06,759.330017,102.970001,117.68,632.650024
2016-01-07,741,97.919998,114.559998,607.940002
2016-01-08,730.909973,97.330002,111.389999,607.049988
2016-01-11,733.070007,97.510002,114.970001,617.73999
2016-01-12,745.340027,99.370003,116.580002,617.890015
2016-01-13,719.570007,95.440002,106.559998,581.809998
2016-01-14,731.390015,98.370003,107.059998,593
2016-01-15,710.48999,94.970001,104.040001,570.179993
2016-01-19,719.080017,95.260002,107.889999,574.47998
2016-01-20,718.559998,94.349998,107.739998,571.77002
2016-01-21,726.669983,94.160004,102.349998,575.02002
2016-01-22,745.460022,97.940002,100.720001,596.380005
2016-01-25,733.619995,97.010002,99.120003,596.530029
2016-01-26,733.789978,97.339996,97.830002,601.25
2016-01-27,717.580017,94.449997,91.150002,583.349976
2016-01-28,748.299988,109.110001,94.410004,635.349976
2016-01-29,761.349976,112.209999,91.839996,587
2016-02-01,770.77002,115.089996,94.089996,574.809998
2016-02-02,780.909973,114.610001,91.489998,552.099976
2016-02-03,749.380005,112.690002,90.739998,531.070007
2016-02-04,730.030029,110.489998,89.709999,536.26001
2016-02-05,703.76001,104.07,82.790001,502.130005
2016-02-08,704.159973,99.75,83.32,488.100006
2016-02-09,701.02002,99.540001,86.129997,482.070007
2016-02-10,706.849976,101,88.449997,490.480011
2016-02-11,706.359985,101.910004,86.349998,503.820007
2016-02-12,706.890015,102.010002,87.400002,507.079987
2016-02-16,717.640015,101.610001,89.050003,521.099976
2016-02-17,731.969971,105.199997,94.760002,534.099976
2016-02-18,717.51001,103.470001,90.489998,525
2016-02-19,722.109985,104.57,89.230003,534.900024
2016-02-22,729.049988,107.160004,91.93,559.5
2016-02-23,717.289978,105.459999,89.120003,552.940002
2016-02-24,720.900024,106.879997,91.610001,554.039978
2016-02-25,729.119995,108.07,94.529999,555.150024
2016-02-26,724.859985,107.919998,94.790001,555.22998
2016-02-29,717.219971,106.919998,93.410004,552.52002
2016-03-01,742.169983,109.82,98.300003,579.039978
2016-03-02,739.47998,109.949997,97.610001,580.210022
2016-03-03,731.590027,109.580002,97.93,577.48999
2016-03-04,730.219971,108.389999,101.580002,575.140015
2016-03-07,712.799988,105.730003,95.489998,562.799988
2016-03-08,713.530029,105.93,96.230003,560.26001
2016-03-09,725.409973,107.510002,98,559.469971
2016-03-10,732.169983,107.32,97.360001,558.929993
2016-03-11,744.869995,109.410004,97.660004,569.609985
2016-03-14,750.23999,109.889999,98.129997,573.369995
2016-03-15,750.570007,110.669998,97.860001,577.02002
2016-03-16,757.359985,112.18,99.349998,574.27002
2016-03-17,758.47998,111.019997,99.720001,559.440002
2016-03-18,755.409973,111.449997,101.120003,552.080017
2016-03-21,762.159973,111.849998,101.059998,553.97998
2016-03-22,760.049988,112.25,99.839996,560.47998
2016-03-23,757.559998,112.540001,99.589996,569.630005
